Sample,sobs,ace,chao,shannon,simpson
SCI_30min_3_Ce,8709,8709,8709,4.71063,0.03336
SCI_1h_1_Co,6176,6176,6176,3.37305,0.1387
SCI_1h_5_Ce,6796,6796,6796,4.38032,0.04432
SCI_1m_4_Ce,7952,7952,7952,3.45489,0.12051
SCI_0min_1_Ce,8498,8498,8498,4.87882,0.02691
Sham_3_Co,8573,8573,8573,4.78771,0.02916
SCI_5d_6_Il,5499,5499,5499,4.89832,0.02405
SCI_3d_5_Ce,7994,7994,7994,4.8608,0.02888
Sham_6_Il,7095,7095,7095,3.91746,0.05072
SCI_3m_5_Ce,9515,9515,9515,4.92274,0.02431
SCI_0min_1_Co,8114,8114,8114,4.41193,0.05078
SCI_5d_1_Co,8352,8352,8352,4.74221,0.02739
SCI_6h_2_Ce,8505,8505,8505,4.8711,0.02477
SCI_30min_1_Il,3828,3828,3828,2.13136,0.31931
SCI_1m_1_Il,6333,6333,6333,3.05566,0.10907
SCI_6h_4_Ce,8715,8715,8715,4.85461,0.02421
SCI_3d_4_Il,2707,2707,2707,2.95007,0.23472
SCI_2m_1_Il,2633,2633,2633,1.38196,0.58144
SCI_7d_5_Il,3803,3803,3803,2.03089,0.48649
SCI_2m_6_Ce,10031,10031,10031,5.16924,0.02086
SCI_1d_4_Il,4964,4964,4964,4.17751,0.07831
SCI_0min_5_Co,8368,8368,8368,4.09157,0.07788
